,Date,Area,Rain
0,1971-01-01,Almora,22.036
1,1971-02-01,Almora,21.85
2,1971-03-01,Almora,17.643
3,1971-04-01,Almora,16.743
4,1971-05-01,Almora,78.978
5,1971-06-01,Almora,210.534
6,1971-07-01,Almora,441.659
7,1971-08-01,Almora,391.131
8,1971-09-01,Almora,271.241
9,1971-10-01,Almora,143.439
10,1971-11-01,Almora,12.612
11,1971-12-01,Almora,0.342
12,1972-01-01,Almora,10.007
13,1972-02-01,Almora,33.052
14,1972-03-01,Almora,9.136
15,1972-04-01,Almora,21.816
16,1972-05-01,Almora,6.055
17,1972-06-01,Almora,85.655
18,1972-07-01,Almora,401.081
19,1972-08-01,Almora,270.337
20,1972-09-01,Almora,361.404
21,1972-10-01,Almora,45.302
22,1972-11-01,Almora,4.938
23,1972-12-01,Almora,2.15
24,1973-01-01,Almora,28.547
25,1973-02-01,Almora,19.796
26,1973-03-01,Almora,24.343
27,1973-04-01,Almora,0.153
28,1973-05-01,Almora,29.856
29,1973-06-01,Almora,288.781
30,1973-07-01,Almora,174.251
31,1973-08-01,Almora,397.185
32,1973-09-01,Almora,128.704
33,1973-10-01,Almora,101.159
34,1973-11-01,Almora,0.005
35,1973-12-01,Almora,0.75
36,1974-01-01,Almora,16.566
37,1974-02-01,Almora,14.565
38,1974-03-01,Almora,6.339
39,1974-04-01,Almora,2.644
40,1974-05-01,Almora,25.684
41,1974-06-01,Almora,107.72
42,1974-07-01,Almora,262.288
43,1974-08-01,Almora,193.325
44,1974-09-01,Almora,47.939
45,1974-10-01,Almora,13.058
46,1974-11-01,Almora,0.002
47,1974-12-01,Almora,24.516
48,1975-01-01,Almora,65.55
49,1975-02-01,Almora,25.704
50,1975-03-01,Almora,25.157
51,1975-04-01,Almora,3.571
52,1975-05-01,Almora,8.757
53,1975-06-01,Almora,159.662
54,1975-07-01,Almora,364.809
55,1975-08-01,Almora,332.358
56,1975-09-01,Almora,290.797
57,1975-10-01,Almora,21.785
58,1975-11-01,Almora,0.0
59,1975-12-01,Almora,0.002
60,1976-01-01,Almora,3.057
61,1976-02-01,Almora,52.315
62,1976-03-01,Almora,11.481
63,1976-04-01,Almora,23.774
64,1976-05-01,Almora,19.176
65,1976-06-01,Almora,162.233
66,1976-07-01,Almora,235.243
67,1976-08-01,Almora,618.153
68,1976-09-01,Almora,77.983
69,1976-10-01,Almora,8.749
70,1976-11-01,Almora,0.0
71,1976-12-01,Almora,0.837
72,1977-01-01,Almora,30.637
73,1977-02-01,Almora,4.043
74,1977-03-01,Almora,2.019
75,1977-04-01,Almora,29.239
76,1977-05-01,Almora,78.583
77,1977-06-01,Almora,185.453
78,1977-07-01,Almora,345.54
79,1977-08-01,Almora,205.203
80,1977-09-01,Almora,135.593
81,1977-10-01,Almora,15.229
82,1977-11-01,Almora,0.147
83,1977-12-01,Almora,17.181
84,1978-01-01,Almora,6.428
85,1978-02-01,Almora,12.076
86,1978-03-01,Almora,51.147
87,1978-04-01,Almora,10.077
88,1978-05-01,Almora,5.828
89,1978-06-01,Almora,143.964
90,1978-07-01,Almora,231.47
91,1978-08-01,Almora,411.24
92,1978-09-01,Almora,231.17
93,1978-10-01,Almora,12.229
94,1978-11-01,Almora,4.978
95,1978-12-01,Almora,7.86
96,1979-01-01,Almora,22.796
97,1979-02-01,Almora,37.358
98,1979-03-01,Almora,28.781
99,1979-04-01,Almora,12.187
100,1979-05-01,Almora,52.271
101,1979-06-01,Almora,71.55
102,1979-07-01,Almora,227.513
103,1979-08-01,Almora,192.883
104,1979-09-01,Almora,41.26
105,1979-10-01,Almora,2.823
106,1979-11-01,Almora,17.292
107,1979-12-01,Almora,7.598
108,1980-01-01,Almora,7.852
109,1980-02-01,Almora,21.626
110,1980-03-01,Almora,40.263
111,1980-04-01,Almora,5.541
112,1980-05-01,Almora,11.464
113,1980-06-01,Almora,227.277
114,1980-07-01,Almora,673.184
115,1980-08-01,Almora,458.247
116,1980-09-01,Almora,334.024
117,1980-10-01,Almora,41.139
118,1980-11-01,Almora,1.623
119,1980-12-01,Almora,5.921
120,1981-01-01,Almora,41.694
121,1981-02-01,Almora,14.348
122,1981-03-01,Almora,54.573
123,1981-04-01,Almora,4.974
124,1981-05-01,Almora,64.097
125,1981-06-01,Almora,116.417
126,1981-07-01,Almora,513.488
127,1981-08-01,Almora,144.062
128,1981-09-01,Almora,91.375
129,1981-10-01,Almora,1.413
130,1981-11-01,Almora,25.822
131,1981-12-01,Almora,2.191
132,1982-01-01,Almora,30.125
133,1982-02-01,Almora,11.252
134,1982-03-01,Almora,78.313
135,1982-04-01,Almora,27.239
136,1982-05-01,Almora,51.673
137,1982-06-01,Almora,43.167
138,1982-07-01,Almora,206.021
139,1982-08-01,Almora,483.384
140,1982-09-01,Almora,75.396
141,1982-10-01,Almora,16.879
142,1982-11-01,Almora,2.808
143,1982-12-01,Almora,14.929
144,1983-01-01,Almora,62.402
145,1983-02-01,Almora,11.662
146,1983-03-01,Almora,26.059
147,1983-04-01,Almora,63.644
148,1983-05-01,Almora,67.748
149,1983-06-01,Almora,212.015
150,1983-07-01,Almora,294.307
151,1983-08-01,Almora,175.551
152,1983-09-01,Almora,399.624
153,1983-10-01,Almora,42.476
154,1983-11-01,Almora,0.0
155,1983-12-01,Almora,9.827
156,1984-01-01,Almora,11.779
157,1984-02-01,Almora,86.897
158,1984-03-01,Almora,6.699
159,1984-04-01,Almora,21.568
160,1984-05-01,Almora,1.139
161,1984-06-01,Almora,188.085
162,1984-07-01,Almora,249.396
163,1984-08-01,Almora,212.101
164,1984-09-01,Almora,81.219
165,1984-10-01,Almora,2.944
166,1984-11-01,Almora,0.0
167,1984-12-01,Almora,8.991
168,1985-01-01,Almora,23.355
169,1985-02-01,Almora,1.785
170,1985-03-01,Almora,2.606
171,1985-04-01,Almora,19.555
172,1985-05-01,Almora,40.902
173,1985-06-01,Almora,165.125
174,1985-07-01,Almora,370.917
175,1985-08-01,Almora,344.185
176,1985-09-01,Almora,181.504
177,1985-10-01,Almora,103.603
178,1985-11-01,Almora,0.0
179,1985-12-01,Almora,40.672
180,1986-01-01,Almora,3.925
181,1986-02-01,Almora,27.669
182,1986-03-01,Almora,14.943
183,1986-04-01,Almora,25.934
184,1986-05-01,Almora,70.947
185,1986-06-01,Almora,79.974
186,1986-07-01,Almora,473.336
187,1986-08-01,Almora,211.847
188,1986-09-01,Almora,205.105
189,1986-10-01,Almora,28.872
190,1986-11-01,Almora,8.525
191,1986-12-01,Almora,57.872
192,1987-01-01,Almora,20.332
193,1987-02-01,Almora,29.923
194,1987-03-01,Almora,6.94
195,1987-04-01,Almora,8.013
196,1987-05-01,Almora,69.313
197,1987-06-01,Almora,12.811
198,1987-07-01,Almora,85.494
199,1987-08-01,Almora,252.82
200,1987-09-01,Almora,76.46
201,1987-10-01,Almora,9.345
202,1987-11-01,Almora,0.0
203,1987-12-01,Almora,10.534
204,1988-01-01,Almora,7.812
205,1988-02-01,Almora,30.862
206,1988-03-01,Almora,18.994
207,1988-04-01,Almora,24.251
208,1988-05-01,Almora,23.049
209,1988-06-01,Almora,132.697
210,1988-07-01,Almora,529.326
211,1988-08-01,Almora,431.304
212,1988-09-01,Almora,122.777
213,1988-10-01,Almora,1.288
214,1988-11-01,Almora,0.772
215,1988-12-01,Almora,19.613
216,1989-01-01,Almora,56.963
217,1989-02-01,Almora,12.486
218,1989-03-01,Almora,19.643
219,1989-04-01,Almora,1.364
220,1989-05-01,Almora,26.409
221,1989-06-01,Almora,169.135
222,1989-07-01,Almora,297.281
223,1989-08-01,Almora,268.174
224,1989-09-01,Almora,131.881
225,1989-10-01,Almora,7.037
226,1989-11-01,Almora,4.395
227,1989-12-01,Almora,6.831
228,1990-01-01,Almora,0.763
229,1990-02-01,Almora,55.743
230,1990-03-01,Almora,36.214
